A_f,Ea_f,C_ad2_A,C_ad2_B,C_ad3_A,C_ad3_B,C_ad4_A,C_ad4_B,C_ad5_A,C_ad5_B,C_ad6_A,C_ad6_B
10000000000.0,65469.312,-10.0,-0.430076888,-9.87400412,-17585.6058,-10.0,-1.19353186,-10.0,-0.0250722892,12.0605802,-5.2925195
10000000000.0,64049.2087,-6.63956983,-0.430658593,-9.87400425,-17585.6058,-10.0,-1.19347394,-10.0,-0.0251013313,12.1805118,-3.83356901
10000000000.0,66024.8669,-10.0,-0.430660093,-9.87400425,-17585.6058,-10.0,-1.19347371,-10.0,-0.025101277,12.0326646,-3.77163845
10000000000.0,67789.46,-7.07166726,-0.430660152,-9.87400425,-17585.6058,-10.0,-1.19347375,-10.0,-0.0251016328,12.0427171,-3.77717037
10000000000.0,67611.5374,-10.0,-0.430667103,-9.87400425,-17585.6058,-10.0,-1.19348001,-9.99999976,-0.0250966469,12.1084697,-4.1698967
10000000000.0,66936.3191,-8.64708532,-0.430660184,-9.87400425,-17585.6058,-10.0,-1.19347386,-10.0,-0.025101653,12.2240876,-3.81791962
10000000000.0,77571.9778,-10.0,-0.936221274,-9.87400513,-17585.6058,-10.0,-1.19617801,-10.0,-0.0243891442,12.0504439,0.0
10000000000.0,62624.4734,-10.0,-0.430657614,-9.87400425,-17585.6058,-10.0,-1.19347168,-10.0,-0.0251044321,12.062916,-3.99724626
10000000000.0,70354.4472,-10.0,0.0,-9.87607831,-17585.6058,-10.0,-2.92198353,-10.0,-0.953604075,12.4625949,-1103.20606
10000000000.0,61380.7326,-1.64770549,0.0,-9.87400422,-17585.6058,-10.0,-1.19342442,-10.0,-0.0276572151,11.5385121,-9.1045169
10000000000.0,46651.4814,-10.0,-0.4014655,-9.8739416,-17585.6058,-10.0,-1.20730778,-10.0,-0.0548535351,12.6346224,0.0
10000000000.0,53287.3663,-10.0,-0.430220309,-9.87400412,-17585.6058,-10.0,-1.1933811,-10.0,-0.0251604875,12.1271756,0.0
10000000000.0,82231.6728,-10.0,-0.429169627,-9.87400317,-17585.6058,-10.0,-1.19349704,-10.0,-0.0248206911,10.5559461,-60.4386659
10000000000.0,75193.1929,-10.0,-0.430545523,-9.87400408,-17585.6058,-10.0,-1.19348006,-10.0,-0.0250406237,11.0055329,-15.502516
10000000000.0,60560.0593,-10.0,-0.427248851,-9.87400368,-17585.6058,-10.0,-1.19427868,-10.0,-0.0256590802,11.775914,-29.8099849
10000000000.0,63230.7978,-10.0,-0.430661965,-9.87400425,-17585.6058,-10.0,-1.19347713,-10.0,-0.0250995854,11.7761673,-3.70511545
10000000000.0,59585.8633,-4.18419626,-0.422394838,-9.87400427,-17585.6058,-10.0,-1.19311102,-10.0,-0.0232329718,11.8613148,-32.3843194
10000000000.0,59322.8044,-10.0,-0.368027089,-9.87400354,-17585.6058,-10.0,-1.18677465,-10.0,-0.0287646744,11.7845219,0.0
10000000000.0,54443.5498,-10.0,-0.428952288,-9.8740048,-17585.6058,-10.0,-1.19354011,-10.0,-0.0255776266,12.0668119,-21.9528575
10000000000.0,91624.9196,-10.0,-0.428981097,-9.87400332,-17585.6058,-10.0,-1.19637781,-10.0,-0.0244247792,10.2934867,-429.034175
10000000000.0,89076.564,-10.0,-0.471097327,-9.87400613,-17585.6058,-10.0,-1.24087328,-9.86659141,-0.0301513758,10.3655342,0.0
9999998930.0,57057.7291,3.25033156,-1323.92205,-9.30077203,-17587.9021,-1.62543623,-20291.2824,-9.88332371,-0.0373386315,13.5398929,0.0
10000000000.0,61386.9128,-1.76250373,0.0,-10.0,-17585.6048,-5.417885,-13020.5831,-8.26076476,-2145.93787,11.988165,-117.256347
10000000000.0,60667.6449,-1.47516906,-51.4091172,-10.0,-17585.6058,0.240460755,0.0,4.71714944,-108.293358,11.8350286,-335.364807
10000000000.0,65241.5455,0.113948957,-429.140954,-9.87399464,-17585.6058,0.0998745055,0.0,-10.0,-1.35205636,12.1066669,-89.4766734
10000000000.0,51546.4026,-9.79968189,-0.43063456,-9.87400423,-17585.6058,-7.52832905,-1.19347681,-10.0,-0.0250389498,12.2360579,-2.78293429
