A_f,Ea_f,C_ad2_A,C_ad2_B,C_ad3_A,C_ad3_B,C_ad4_A,C_ad4_B,C_ad5_A,C_ad5_B,C_ad6_A,C_ad6_B
10000000000.0,66996.0901,-10.0,-0.419400785,-9.87400433,-17585.6058,-10.0,-1.68513434,-10.0,-0.025106179,11.224617,0.0
10000000000.0,68087.3339,-8.17962571,-0.430624159,-9.87400428,-17585.6058,-0.804482695,-1.5794543,-10.0,-0.0248230584,10.6309169,0.0
10000000000.0,58319.9378,-10.0,-0.430660182,-9.87400425,-17585.6058,-10.0,-1.19347427,-10.0,-0.0251013469,11.4782269,-4.51254376
10000000000.0,57863.7277,-9.0014057,-0.430315743,-9.874004,-17585.6058,-10.0,-1.19370327,-10.0,-0.0249214683,11.184798,-8.6068082
10000000000.0,100094.685,-10.0,-154.743971,-9.86858615,-17585.6058,-10.0,-176.019317,-10.0,-8.2333736,8.58183041,-143.874238
10000000000.0,86852.8936,-10.0,-36143.5848,-9.82675191,-17585.606,-10.0,-12421.0601,-10.0,-6743.51721,9.11253628,-116.672899
10000000000.0,104500.319,-10.0,-136.779589,-9.88022795,-17585.6058,-10.0,-1191.17303,-10.0,-8.02736098,8.71445729,-326.233794
10000000000.0,56266.3129,-8.43058579,-0.201133695,-9.87418957,-17585.6058,-10.0,-1.30131996,-10.0,-0.0522846951,11.3577997,0.0
32465234800.0,52396.7924,0.122361514,-1003.11622,-10.0,-17585.5896,-1.79450398,0.0,6.96194238,0.0,11.1408192,-652.103122
10000000000.0,40894.4515,-10.0,-0.383323003,-9.87400405,-17585.6058,-10.0,-1.18374719,-10.0,-0.0247615371,13.3184468,-288.286813
10000000000.0,57347.7247,-0.570015424,-250.429897,-10.0,-17585.6057,-0.508494264,0.0,0.160349637,-301.679119,11.7459217,-196.580348
9930028060.0,59974.3403,-1.81417745,-39.6984595,13.9306341,-16712.1354,-8.99613362,-21268.0239,4.02215866,-93.1571757,11.8764995,-74.2479264
10000000000.0,59134.7912,-0.902343327,0.0,-9.87419355,-17585.6058,-10.0,-3.03347764,-10.0,-23.8479826,11.5116573,-120.697088
10000000000.0,65005.5285,-10.0,-7.29849718,-9.87178459,-17585.6058,-10.0,-22.0052616,-10.0,-1.02042229,12.4940043,-843.760383
10000000000.0,72254.4915,-10.0,-2.87672335,-9.87427438,-17585.6058,-10.0,-2.18913817,-10.0,-0.0432061768,11.307967,0.0
10000000000.0,53672.6926,-10.0,-0.420943307,-9.87400431,-17585.6058,-10.0,-1.18925365,-10.0,-0.0254870325,12.6152951,-123.759931
10000000000.0,60342.5094,-2.78926276,0.0,-9.87400447,-17585.6058,-0.209867034,-0.0777646756,-3.31485344,-0.0262048525,11.6061505,-3.82932289
10000000000.0,70489.8391,-3.79314313,0.0,-9.87409522,-17585.6058,-10.0,-0.201223997,-10.0,-17.5589025,10.219092,-58.21096
10000000000.0,70596.35,-10.0,-0.496584286,-9.87400759,-17585.6058,-10.0,-1.19390803,-10.0,-0.0236804358,10.5038535,-83.2180191
10000000000.0,72207.9257,-1.79707997,-2052.39094,-9.87402993,-17585.6058,-10.0,-96629.2432,-10.0,-12565.646,10.5535428,0.0
10000000000.0,81597.666,-10.0,-0.427108481,-9.87400408,-17585.6058,-10.0,-1.19270331,-10.0,-0.0252501415,10.0587686,-62.4009121
10000000000.0,61045.6218,-10.0,-0.431821444,-9.87400446,-17585.6058,-10.0,-1.19389025,-10.0,-0.0251025618,11.571261,-17.2810566
10000000000.0,80832.7577,-10.0,-0.416013274,-9.87399382,-17585.6058,-10.0,-1.19443135,-10.0,-0.0213871178,10.7392782,-509.273901
