A_f,Ea_f(J/mol),A_1,Ea_1(J/mol),A_2,Ea_2(J/mol),A_3,Ea_3(J/mol),A_4,Ea_4(J/mol),A_5,Ea_5(J/mol)
10000000000.0,65469.312,4.5399929762484854e-05,3.575659246832,5.149611860644262e-05,146206.7266212,4.5399929762484854e-05,9.923023884040001,4.5399929762484854e-05,0.2084510124088,172919.28432337233,44.002007123
10000000000.0,64049.2087,0.0013075896086934414,3.5804955422019997,5.149611191194763e-05,146206.7266212,4.5399929762484854e-05,9.922542337160001,4.5399929762484854e-05,0.20869246842820002,194952.6134371428,31.87229274914
10000000000.0,66024.8669,4.5399929762484854e-05,3.5805080132020004,5.149611191194763e-05,146206.7266212,4.5399929762484854e-05,9.92254042494,4.5399929762484854e-05,0.20869201697800002,168158.89248325874,31.3574020733
10000000000.0,67789.46,0.0008488167305769132,3.5805085037280002,5.149611191194763e-05,146206.7266212,4.5399929762484854e-05,9.9225407575,4.5399929762484854e-05,0.2086949750992,169857.83475164746,31.40339445618
10000000000.0,67611.5374,4.5399929762484854e-05,3.580566294342,5.149611191194763e-05,146206.7266212,4.5399929762484854e-05,9.92259280314,4.539994065846931e-05,0.20865352232659998,181401.7928461601,34.6685211638
10000000000.0,66936.3191,0.00017563803148546708,3.580508769776,5.149611191194763e-05,146206.7266212,4.5399929762484854e-05,9.922541672040001,4.5399929762484854e-05,0.20869514304200001,203635.64051823056,31.74218372068
10000000000.0,77571.9778,4.5399929762484854e-05,7.783743672036,5.149606659538909e-05,146206.7266212,4.5399929762484854e-05,9.94502397514,4.5399929762484854e-05,0.2027713448788,171175.37590255044,-0.0
10000000000.0,62624.4734,4.5399929762484854e-05,3.5804874027960003,5.149611191194763e-05,146206.7266212,4.5399929762484854e-05,9.92252354752,4.5399929762484854e-05,0.20871824847940001,173323.6612756819,33.233105405639996
10000000000.0,70354.4472,4.5399929762484854e-05,-0.0,5.138941657059321e-05,146206.7266212,4.5399929762484854e-05,24.29337106842,4.5399929762484854e-05,7.9282642795500005,258485.50555381112,9172.05518284
10000000000.0,61380.7326,0.1924910749933568,-0.0,5.149611345683105e-05,146206.7266212,4.5399929762484854e-05,9.92213062788,4.5399929762484854e-05,0.2299420863414,102591.67827514977,75.6949535066
10000000000.0,46651.4814,4.5399929762484854e-05,3.3377841669999997,5.1499338244422735e-05,146206.7266212,4.5399929762484854e-05,10.03755688292,4.5399929762484854e-05,0.45605229082140003,307005.9477008278,-0.0
10000000000.0,53287.3663,4.5399929762484854e-05,3.576851649026,5.149611860644262e-05,146206.7266212,4.5399929762484854e-05,9.921770465400002,4.5399929762484854e-05,0.209184293075,184827.01267660223,-0.0
10000000000.0,82231.6728,4.5399929762484854e-05,3.568116278878,5.149616752777856e-05,146206.7266212,4.5399929762484854e-05,9.92273439056,4.5399929762484854e-05,0.2063592258054,38405.12142018093,502.4870682926
10000000000.0,75193.1929,4.5399929762484854e-05,3.579555478222,5.149612066628739e-05,146206.7266212,4.5399929762484854e-05,9.92259321884,4.5399929762484854e-05,0.2081877454418,60206.337509490746,128.887918024
10000000000.0,60560.0593,4.5399929762484854e-05,3.5521469472139997,5.149614126473984e-05,146206.7266212,4.5399929762484854e-05,9.92923294552,4.5399929762484854e-05,0.2133295927828,130081.18050976131,247.8402144586
10000000000.0,63230.7978,4.5399929762484854e-05,3.5805235770099997,5.149611191194763e-05,146206.7266212,4.5399929762484854e-05,9.92256885882,4.5399929762484854e-05,0.2086779530156,130114.13424619881,30.8043298513
10000000000.0,59585.8633,0.015234445555794047,3.511790683132,5.149611088202541e-05,146206.7266212,4.5399929762484854e-05,9.91952502028,4.5399929762484854e-05,0.19315892754519998,141678.3745916564,269.2432314916
10000000000.0,59322.8044,4.5399929762484854e-05,3.059777217946,5.1496148474200074e-05,146206.7266212,4.5399929762484854e-05,9.866844440100001,4.5399929762484854e-05,0.23914950296159998,131205.73940496586,-0.0
10000000000.0,54443.5498,4.5399929762484854e-05,3.566309322432,5.14960835890939e-05,146206.7266212,4.5399929762484854e-05,9.92309247454,4.5399929762484854e-05,0.2126523875524,174000.229993932,182.516057255
10000000000.0,91624.9196,4.5399929762484854e-05,3.5665488404579997,5.149615980335401e-05,146206.7266212,4.5399929762484854e-05,9.946685112339999,4.5399929762484854e-05,0.2030676142688,29539.590694073864,3566.99013095
10000000000.0,89076.564,4.5399929762484854e-05,3.9167031766780003,5.149601509934828e-05,146206.7266212,4.5399929762484854e-05,10.31662044992,5.1879262713450674e-05,0.2506785384012,31746.386918409476,-0.0
9999998930.0,57057.7291,25.798892380044943,11007.087923699999,9.135367646754216e-05,146225.8180594,0.19682579515720805,168701.7218736,5.1018425304787426e-05,0.310433382291,759103.1123126913,-0.0
10000000000.0,61386.9128,0.17161464873210514,-0.0,4.5399929762484854e-05,146206.7183072,0.004436519971787676,108253.1278934,0.0002584612547920297,17841.32745118,160839.94193496747,974.869268958
10000000000.0,60667.6449,0.22874005298283878,427.41540040079997,4.5399929762484854e-05,146206.7266212,1.2718350196844155,-0.0,111.84896562312584,900.350978412,138002.70977537506,2788.2230053979997
10000000000.0,65241.5455,1.1206949197934146,3567.877891556,5.1496606791961054e-05,146206.7266212,1.1050322339061014,-0.0,4.5399929762484854e-05,11.240996577039999,181075.05630283072,743.9090626476
10000000000.0,51546.4026,5.5469241946453656e-05,3.58029573184,5.1496112941869876e-05,146206.7266212,0.0005376358691994286,9.92256619834,4.5399929762484854e-05,0.20817382863720002,206087.867893424,23.13731568706
