Number,Catalyst,A_f (kmol s-1 kg-1),Ea_f (kJ/kmol),A_1 (kmol s-1 kg-1),Ea_1 (kJ/kmol),A_2 (kmol s-1 kg-1),Ea_2 (kJ/kmol),A_3 (kmol s-1 kg-1),Ea_3 (kJ/kmol),A_4 (kmol s-1 kg-1),Ea_4 (kJ/kmol),A_5 (kmol s-1 kg-1),Ea_5 (kJ/kmol),Reference,,Reference,
1,10 wt% Ni/Al2O3,7.87.E+07,7.90.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.61.E+03,0.00.E+00,1 ,,1,Ammonia decomposition over Ni/La2O3?catalyst for on-site generation of hydrogen
2,10 wt% Ni/La2O3,6.02.E+08,9.27.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,8.55.E-05,0.00.E+00,4.94.E+03,0.00.E+00,1 ,,2,Catalytic decomposition of ammonia to COx-free hydrogen over Ni/ZSM-5 catalysts: A comparative study of the preparation methods
3,10 wt% Ni/SiO2,7.24.E+07,7.55.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,1.99.E-03,0.00.E+00,7.01.E+03,0.00.E+00,1 ,,3,Highly active and stable Ni@SiO2 catalyst for ammonia decomposition
4,10 wt% Ni/MgO,8.58.E+07,7.95.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,7.60.E-03,0.00.E+00,6.51.E+03,0.00.E+00,1 ,,4,Structure and catalytic properties of Ni/MWCNTs and Ni/AC catalysts for hydrogen production via ammonia decomposition
5,10 wt% Ni/CeO2,7.12.E+07,7.82.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,5.73.E-02,0.00.E+00,6.66.E+03,0.00.E+00,1 ,,5,Promoting effects of iridium on nickel based catalyst in ammonia decomposition
6,10 wt% Ni/TiO2,4.59.E+07,7.75.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.03.E-03,0.00.E+00,5.97.E+03,0.00.E+00,1 ,,,
7,10 wt% Ni/ZrO2,4.66.E+07,9.58.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,3.34.E+03,0.00.E+00,1 ,,,
8,5 wt% Ni/ZSM-5 (IM),4.50.E+07,7.87.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,3.60.E+03,0.00.E+00,2 ,,,
9,5 wt% Ni/ZSM-5 (DP),4.99.E+09,1.17.E+05,4.54.E-05,0.00.E+00,6.62.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,7.57.E+02,0.00.E+00,2 ,,,
10,5 wt% Ni/ZSM-5 (SSIE),1.45.E+08,7.69.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,3.47.E+03,0.00.E+00,2 ,,,
11,5 wt% Ni/ZSM-5 (MSSIE),1.11.E+08,6.78.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,2.94.E-02,0.00.E+00,5.91.E+03,0.00.E+00,2 ,,,
12,15 wt% Ni/SiO2,5.38.E+07,5.78.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,3.66.E-03,0.00.E+00,9.05.E+03,0.00.E+00,3 ,,,
13,15 wt% Ni/CeO2,1.15.E+08,7.69.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.72.E-04,0.00.E+00,5.45.E+03,0.00.E+00,3 ,,,
14,15 wt% Ni/MgO,5.13.E+07,7.11.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,2.99.E-04,0.00.E+00,5.14.E+03,0.00.E+00,3 ,,,
