Number,Catalyst,A_f (kmol s-1 kg-1),Ea_f (kJ/kmol),A_1 (kmol s-1 kg-1),Ea_1 (kJ/kmol),A_2 (kmol s-1 kg-1),Ea_2 (kJ/kmol),A_3 (kmol s-1 kg-1),Ea_3 (kJ/kmol),A_4 (kmol s-1 kg-1),Ea_4 (kJ/kmol),A_5 (kmol s-1 kg-1),Ea_5 (kJ/kmol),Reference,,Reference,
1,0.12 wt% Ru/MgO,1.09.E+08,7.46.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.03.E+03,0.00.E+00,1 ,,1,Hydrogen production via catalytic decomposition of NH3 using promoted MgO-supported ruthenium catalysts
2,0.41 wt% Ru/MgO,3.34.E+07,6.04.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,1.50.E-04,0.00.E+00,5.19.E+03,0.00.E+00,1 ,,2,Ru-Based Catalysts for H2 Production from Ammonia: Effect of 1D Support
3,0.75 wt% Ru/MgO,5.49.E+07,5.78.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.18.E-04,0.00.E+00,6.85.E+03,0.00.E+00,1 ,,3,HighlyEfficientRu/MgOCatalystwith Surface-EnrichedBasicSites for Productionof HydrogenfromAmmoniaDecomposition
4,1.75 wt% Ru/MgO,4.59.E+07,5.32.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,1.56.E-01,0.00.E+00,7.50.E+03,0.00.E+00,1 ,,4,Ru/La2O3 catalyst for ammonia decomposition to hydrogen
5,7.00 wt% Ru/Al2O3 NR,3.79.E+08,7.11.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,1.11.E+04,0.00.E+00,2 ,,5,Metal?support interactions on Ru/CaAlOx?catalysts derived from structural reconstruction of Ca?Al layered double hydroxides for ammonia decomposition
6,7.00 wt% Ru/CeO2,3.43.E+08,7.22.E+04,4.55.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.56.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.34.E+03,0.00.E+00,2 ,,6,Mesoporous Ru/MgO prepared by a deposition-precipitation method as highly active catalyst for producing COx-free hydrogen from ammonia decomposition
7,7.00 wt% Ru/CNT,4.73.E+08,7.54.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,3.57.E-03,0.00.E+00,1.03.E+04,0.00.E+00,2 ,,7,Catalytic ammonia decomposition for CO-free hydrogen generation over Ru/Cr2O3?catalysts
8,5.00 wt% Ru/MgO-DP,1.06.E+08,5.93.E+04,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,4.54.E-05,0.00.E+00,6.22.E-03,0.00.E+00,6.42.E+03,0.00.E+00,3 ,,8,Ruthenium catalyst supported on Ba modified ZrO2?for ammonia decomposition to COx-free hydrogen
9,4.80 wt% Ru-KOH/La2O3-700-i-K,7.44.E+06,3.89.E+04,4.54.E-05,0.00.E+00,4.59.E-05,0.00.E+00,5.84.E-03,0.00.E+00,1.18.E-04,0.00.E+00,1.06.E+04,0.00.E+00,4 ,,9,Large Oblate Hemispheroidal Ruthenium Particles Supported on Calcium Amide as Efficient Catalysts for Ammonia Decomposition
10,4.80 wt% Ru/La2O3-700-i,4.25.E+07,5.56.E+04,4.54.E-05,0.00.E+00,5.57.E-05,0.00.E+00,1.19.E-02,0.00.E+00,4.09.E-04,0.00.E+00,6.31.E+03,0.00.E+00,4 ,,10,Effects of Alkaline Earth Metal Amides on Ru in Catalytic Ammonia Decomposition
