Number,Catalyst,Doping wt%,Support (Promoter),NH3 conversion (%),GHSV (mL g-1 h-1),Pressure (bar),Pressure (atm),Temperature (C),Temperature (K),NH3 in (mol g-1 h-1),NH3 conversion,NH3 out (mol g-1 h-1),Reaction rate (mol H2 g-1 h-1)
1,Ni,10,Al2O3,0.7271,6000,1.01325,1,356.916,630.066,0.267864,0.007271,0.265916361,0.002921459
,Ni,10,Al2O3,2.6903,6000,1.01325,1,386.293,659.443,0.267864,0.026903,0.260657655,0.010809518
,Ni,10,Al2O3,5.1022,6000,1.01325,1,411.383,684.533,0.267864,0.051022,0.254197043,0.020500436
,Ni,10,Al2O3,9.2275,6000,1.01325,1,435.174,708.324,0.267864,0.092275,0.243146849,0.037075726
,Ni,10,Al2O3,14.9461,6000,1.01325,1,458.934,732.084,0.267864,0.149461,0.227828779,0.060052832
,Ni,10,Al2O3,23.8426,6000,1.01325,1,483.238,756.388,0.267864,0.238426,0.203998258,0.095798613
,Ni,10,Al2O3,28.4358,6000,1.01325,1,492.769,765.919,0.267864,0.284358,0.191694729,0.114253907
,Ni,10,Al2O3,35.5941,6000,1.01325,1,503.458,776.608,0.267864,0.355941,0.17252022,0.14301567
,Ni,10,Al2O3,54.3537,6000,1.01325,1,532.205,805.355,0.267864,0.543537,0.122270005,0.218390992
,Ni,10,Al2O3,70.3672,6000,1.01325,1,552.305,825.455,0.267864,0.703672,0.079375603,0.282732595
,Ni,10,Al2O3,84.5815,6000,1.01325,1,574.352,847.502,0.267864,0.845815,0.041300611,0.339845084
,Ni,10,Al2O3,92.1601,6000,1.01325,1,588.617,861.767,0.267864,0.921601,0.02100027,0.370295595
,Ni,10,Al2O3,97.2141,6000,1.01325,1,599.856,873.006,0.267864,0.972141,0.007462423,0.390602365
,Ni,10,Al2O3,99.8214,6000,1.01325,1,614.121,887.271,0.267864,0.998214,0.000478405,0.401078392
2,Ni,10,La2O3,0.5076,6000,1.01325,1,353.458,626.608,0.267864,0.005076,0.266504322,0.002039516
,Ni,10,La2O3,3.2024,6000,1.01325,1,383.718,656.868,0.267864,0.032024,0.259285923,0.012867115
,Ni,10,La2O3,5.8887,6000,1.01325,1,405.115,678.265,0.267864,0.058887,0.252090293,0.023660561
,Ni,10,La2O3,10.3823,6000,1.01325,1,432.997,706.147,0.267864,0.103823,0.240053556,0.041715666
,Ni,10,La2O3,15.6616,6000,1.01325,1,453.746,726.896,0.267864,0.156616,0.225912212,0.062927682
,Ni,10,La2O3,23.2383,6000,1.01325,1,477.234,750.384,0.267864,0.232383,0.20561696,0.09337056
,Ni,10,La2O3,34.0795,6000,1.01325,1,501.729,774.879,0.267864,0.340795,0.176577288,0.136930068
,Ni,10,La2O3,47.8474,6000,1.01325,1,525.719,798.869,0.267864,0.478474,0.13969804,0.192248939
,Ni,10,La2O3,56.8101,6000,1.01325,1,539.337,812.487,0.267864,0.568101,0.115690194,0.228260709
,Ni,10,La2O3,63.3468,6000,1.01325,1,549.411,822.561,0.267864,0.633468,0.098180728,0.254524909
,Ni,10,La2O3,78.9826,6000,1.01325,1,573.239,846.389,0.267864,0.789826,0.056298048,0.317348927
,Ni,10,La2O3,91.1679,6000,1.01325,1,595.977,869.127,0.267864,0.911679,0.023658016,0.366308975
,Ni,10,La2O3,97.0849,6000,1.01325,1,620.564,893.714,0.267864,0.970849,0.007808503,0.390083245
,Ni,10,La2O3,99.393,6000,1.01325,1,642.179,915.329,0.267864,0.99393,0.001625934,0.399357098
3,Ni,10,SiO2,2.6801,6000,1.01325,1,387.085,660.235,0.267864,0.026801,0.260684977,0.010768535
,Ni,10,SiO2,4.9286,6000,1.01325,1,406.127,679.277,0.267864,0.049286,0.254662055,0.019802918
,Ni,10,SiO2,8.293,6000,1.01325,1,432.997,706.147,0.267864,0.08293,0.245650038,0.033320942
,Ni,10,SiO2,13.2094,6000,1.01325,1,454.504,727.654,0.267864,0.132094,0.232480773,0.053074841
,Ni,10,SiO2,23.3284,6000,1.01325,1,484.87,758.02,0.267864,0.233284,0.205375615,0.093732578
,Ni,10,SiO2,23.3284,6000,1.01325,1,484.87,758.02,0.267864,0.233284,0.205375615,0.093732578
,Ni,10,SiO2,31.5551,6000,1.01325,1,503.567,776.717,0.267864,0.315551,0.183339247,0.12678713
,Ni,10,SiO2,46.7878,6000,1.01325,1,531.124,804.274,0.267864,0.467878,0.142536327,0.187991509
,Ni,10,SiO2,59.736,6000,1.01325,1,552.287,825.437,0.267864,0.59736,0.107852761,0.240016859
,Ni,10,SiO2,68.3843,6000,1.01325,1,566.526,839.676,0.267864,0.683843,0.084687079,0.274765382
,Ni,10,SiO2,78.5228,6000,1.01325,1,584.367,857.517,0.267864,0.785228,0.057529687,0.315501469
,Ni,10,SiO2,85.9073,6000,1.01325,1,600.334,873.484,0.267864,0.859073,0.03774927,0.345172095
