Number,Catalyst,Doping wt%,Support (Promoter),NH3 conversion (%),GHSV (mL g-1 h-1),Pressure (bar),Pressure (atm),Temperature (C),Temperature (K),NH3 in (mol g-1 h-1),NH3 conversion,NH3 out (mol g-1 h-1),Reaction rate (mol H2 g-1 h-1)
1,Ru,0.12,MgO,0.428,22000,1.01325,1,300.228,573.378,0.982168,0.00428,0.977964321,0.006305519
,Ru,0.12,MgO,0.979,22000,1.01325,1,334.377,607.527,0.982168,0.00979,0.972552575,0.014423137
,Ru,0.12,MgO,1.373,22000,1.01325,1,349.179,622.329,0.982168,0.01373,0.968682833,0.02022775
,Ru,0.12,MgO,3.043,22000,1.01325,1,370.825,643.975,0.982168,0.03043,0.952280628,0.044831058
,Ru,0.12,MgO,4.49,22000,1.01325,1,385.125,658.275,0.982168,0.0449,0.938068657,0.066149015
,Ru,0.12,MgO,6.167,22000,1.01325,1,399.971,673.121,0.982168,0.06167,0.921597699,0.090855451
,Ru,0.12,MgO,9.603,22000,1.01325,1,416.641,689.791,0.982168,0.09603,0.887850407,0.14147639
,Ru,0.12,MgO,14.074,22000,1.01325,1,435.105,708.255,0.982168,0.14074,0.843937676,0.207345486
,Ru,0.12,MgO,18.135,22000,1.01325,1,450.763,723.913,0.982168,0.18135,0.804051833,0.26717425
,Ru,0.12,MgO,25.477,22000,1.01325,1,468.657,741.807,0.982168,0.25477,0.731941059,0.375340412
,Ru,0.12,MgO,32.071,22000,1.01325,1,485.666,758.816,0.982168,0.32071,0.667176901,0.472486649
,Ru,0.12,MgO,38.564,22000,1.01325,1,500.517,773.667,0.982168,0.38564,0.603404732,0.568144901
,Ru,0.12,MgO,51.89,22000,1.01325,1,522.686,795.836,0.982168,0.5189,0.472521025,0.764470463
,Ru,0.12,MgO,64.38,22000,1.01325,1,544.15,817.3,0.982168,0.6438,0.349848242,0.948479638
2,Ru,0.41,MgO,0.505,22000,1.01325,1,302.739,575.889,0.982168,0.00505,0.977208052,0.007439923
,Ru,0.41,MgO,1.389,22000,1.01325,1,331.714,604.864,0.982168,0.01389,0.968525686,0.02046347
,Ru,0.41,MgO,2.521,22000,1.01325,1,349.794,622.944,0.982168,0.02521,0.957407545,0.037140683
,Ru,0.41,MgO,8.2,22000,1.01325,1,376.171,649.321,0.982168,0.082,0.901630224,0.120806664
,Ru,0.41,MgO,14.547,22000,1.01325,1,401.08,674.23,0.982168,0.14547,0.839292021,0.214313968
,Ru,0.41,MgO,22.497,22000,1.01325,1,421.977,695.127,0.982168,0.22497,0.761209665,0.331437502
,Ru,0.41,MgO,28.777,22000,1.01325,1,438.638,711.788,0.982168,0.28777,0.699529515,0.423957728
,Ru,0.41,MgO,33.855,22000,1.01325,1,450.401,723.551,0.982168,0.33855,0.649655024,0.498769465
,Ru,0.41,MgO,43.609,22000,1.01325,1,468.509,741.659,0.982168,0.43609,0.553854357,0.642470465
,Ru,0.41,MgO,51.893,22000,1.01325,1,483.333,756.483,0.982168,0.51893,0.47249156,0.76451466
,Ru,0.41,MgO,62.182,22000,1.01325,1,501.185,774.335,0.982168,0.62182,0.371436294,0.916097559
,Ru,0.41,MgO,70.066,22000,1.01325,1,516.538,789.688,0.982168,0.70066,0.294002169,1.032248746
,Ru,0.41,MgO,78.217,22000,1.01325,1,534.062,807.212,0.982168,0.78217,0.213945655,1.152333517
,Ru,0.41,MgO,86.234,22000,1.01325,1,549.689,822.839,0.982168,0.86234,0.135205247,1.27044413
3,Ru,0.75,MgO,1.252,22000,1.01325,1,301.91,575.06,0.982168,0.01252,0.969871257,0.018445115
,Ru,0.75,MgO,3.367,22000,1.01325,1,328.702,601.852,0.982168,0.03367,0.949098403,0.049604395
,Ru,0.75,MgO,5.527,22000,1.01325,1,349.606,622.756,0.982168,0.05527,0.927883575,0.081426638
,Ru,0.75,MgO,15.488,22000,1.01325,1,378.76,651.91,0.982168,0.15488,0.83004982,0.22817727
,Ru,0.75,MgO,24.501,22000,1.01325,1,400.675,673.825,0.982168,0.24501,0.741527018,0.360961473
,Ru,0.75,MgO,34.343,22000,1.01325,1,420.827,693.977,0.982168,0.34343,0.644862044,0.505958934
,Ru,0.75,MgO,44.276,22000,1.01325,1,438.127,711.277,0.982168,0.44276,0.547303296,0.652297056
,Ru,0.75,MgO,52.027,22000,1.01325,1,451.167,724.317,0.982168,0.52027,0.471175455,0.766488818
,Ru,0.75,MgO,64.478,22000,1.01325,1,472.057,745.207,0.982168,0.64478,0.348885717,0.949923425
,Ru,0.75,MgO,74.747,22000,1.01325,1,489.707,762.857,0.982168,0.74747,0.248026885,1.101211672
,Ru,0.75,MgO,82.225,22000,1.01325,1,502.271,775.421,0.982168,0.82225,0.174580362,1.211381457
,Ru,0.75,MgO,88.552,22000,1.01325,1,520.397,793.547,0.982168,0.88552,0.112438593,1.304594111
,Ru,0.75,MgO,93.603,22000,1.01325,1,536.883,810.033,0.982168,0.93603,0.062829287,1.37900807
,Ru,0.75,MgO,95.96,22000,1.01325,1,549.89,823.04,0.982168,0.9596,0.039679587,1.413732619
4,Ru,1.75,MgO,5.113,22000,1.01325,1,300.153,573.303,0.982168,0.05113,0.93194975,0.075327375
,Ru,1.75,MgO,9.657,22000,1.01325,1,316.854,590.004,0.982168,0.09657,0.887320036,0.142271946
,Ru,1.75,MgO,13.125,22000,1.01325,1,332.164,605.314,0.982168,0.13125,0.85325845,0.193364325
,Ru,1.75,MgO,18.068,22000,1.01325,1,351.049,624.199,0.982168,0.18068,0.804709886,0.266187171
,Ru,1.75,MgO,26.388,22000,1.01325,1,367.864,641.014,0.982168,0.26388,0.722993508,0.388761738
,Ru,1.75,MgO,35.383,22000,1.01325,1,384.699,657.849,0.982168,0.35383,0.634647497,0.521280755
,Ru,1.75,MgO,44.784,22000,1.01325,1,400.732,673.882,0.982168,0.44784,0.542313883,0.659781176
,Ru,1.75,MgO,51.773,22000,1.01325,1,410.718,683.868,0.982168,0.51773,0.473670161,0.762746758
,Ru,1.75,MgO,60.648,22000,1.01325,1,421.575,694.725,0.982168,0.60648,0.386502751,0.893497873
,Ru,1.75,MgO,71.136,22000,1.01325,1,434.654,707.804,0.982168,0.71136,0.283492972,1.048012543
,Ru,1.75,MgO,89.124,22000,1.01325,1,469.139,742.289,0.982168,0.89124,0.106820592,1.313021112
,Ru,1.75,MgO,94.476,22000,1.01325,1,486.135,759.285,0.982168,0.94476,0.05425496,1.39186956
,Ru,1.75,MgO,98.887,22000,1.01325,1,502.017,775.167,0.982168,0.98887,0.01093153,1.456854705
,Ru,1.75,MgO,99.653,22000,1.01325,1,518.604,791.754,0.982168,0.99653,0.003408123,1.468139816
5,Ru,7,Al2O3 NR,1.647,6000,1.01325,1,291.412,564.562,0.267864,0.01647,0.26345228,0.00661758
,Ru,7,Al2O3 NR,3.411,6000,1.01325,1,319.347,592.497,0.267864,0.03411,0.258727159,0.013705262
,Ru,7,Al2O3 NR,3.901,6000,1.01325,1,333.071,606.221,0.267864,0.03901,0.257414625,0.015674062
,Ru,7,Al2O3 NR,4.587,6000,1.01325,1,348.241,621.391,0.267864,0.04587,0.255577078,0.018430383
,Ru,7,Al2O3 NR,7.036,6000,1.01325,1,361.977,635.127,0.267864,0.07036,0.249017089,0.028270367
,Ru,7,Al2O3 NR,10.858,6000,1.01325,1,375.24,648.39,0.267864,0.10858,0.238779327,0.04362701
,Ru,7,Al2O3 NR,15.757,6000,1.01325,1,389.232,662.382,0.267864,0.15757,0.22565667,0.063310996
,Ru,7,Al2O3 NR,24.38,6000,1.01325,1,404.209,677.359,0.267864,0.2438,0.202558757,0.097957865
,Ru,7,Al2O3 NR,35.943,6000,1.01325,1,416.075,689.225,0.267864,0.35943,0.171585642,0.144417536
,Ru,7,Al2O3 NR,51.229,6000,1.01325,1,431.814,704.964,0.267864,0.51229,0.130639951,0.205836073
,Ru,7,Al2O3 NR,69.063,6000,1.01325,1,446.847,719.997,0.267864,0.69063,0.082869086,0.277492371
,Ru,7,Al2O3 NR,85.917,6000,1.01325,1,461.393,734.543,0.267864,0.85917,0.037723287,0.345211069
,Ru,7,Al2O3 NR,95.519,6000,1.01325,1,474.45,747.6,0.267864,0.95519,0.012002986,0.383791521
,Ru,7,Al2O3 NR,99.635,6000,1.01325,1,487.956,761.106,0.267864,0.99635,0.000977704,0.400329445
6,Ru,7,CeO2,1.059,6000,1.01325,1,229.759,502.909,0.267864,0.01059,0.26502732,0.00425502
