Catalyst
10 wt% Ni/Al$_{2}$O$_{3}$
10 wt% Ni/La$_{2}$O$_{3}$
10 wt% Ni/SiO$_{2}$
10 wt% Ni/MgO
10 wt% Ni/CeO$_{2}$
10 wt% Ni/TiO$_{2}$
10 wt% Ni/ZrO$_{2}$
5 wt% Ni/ZSM-5 (IM)
5 wt% Ni/ZSM-5 (DP)
5 wt% Ni/ZSM-5 (SSIE)
5 wt% Ni/ZSM-5 (MSSIE)
15 wt% Ni/SiO$_{2}$
15 wt% Ni/CeO$_{2}$
15 wt% Ni/MgO
15 wt% Ni/Al$_{2}$O$_{3}$
1 wt% Ni/SiO$_{2}$
5 wt% Ni/SiO$_{2}$
10 wt% Ni/SiO$_{2}$
20 wt% Ni/SiO$_{2}$
5 wt% Ni/MWCNTs
5 wt% Ni/AC-1
5 wt% Ni/AC-2
20 wt% Ni/SMR
15 wt% Ni/SMR
10 wt% Ni/SMR
10 wt% Ni/0.7% Ir
