A_f,Ea_f,C_ad2_A,C_ad2_B,C_ad3_A,C_ad3_B
10,124389.68,30,-79852.2,13.7953728,-8578.04168
163640.674,164084.817,30,-79852.2,27.461971,-16490.0277
276553.536,183427.453,30,-79852.2,30,-22417.9478
26076.8443,161224.479,30,-79852.2,21.5497313,-13654.6571
43829.6185,177530.487,30,-79852.2,21.8342284,-14882.4007
8020.61584,156404.957,30,-79852.2,19.2130782,-11879.6506
42998.4976,186011.581,30,-79852.2,29.5646086,-21349.3519
339285.275,190653.301,30,-79852.2,22.1435859,-15203.06
260.556464,163351.121,30,-79852.2,20.6677845,-16037.8908
20657.2071,182547.701,30,-79852.2,29.4659969,-21542.5826
8716.85045,172832.662,30,-79852.2,18.6287943,-12985.3008
10,144347.738,30,-79852.2,29.1237322,-22245.5668
1737.51012,177552.557,30,-79852.2,27.7128086,-21082.3306
1161.5326,186788.221,30,-79852.2,28.7934758,-22585.6436
7405.34241,191348.751,30,-79852.2,28.4977159,-22015.2616
237.907893,174540.709,30,-79852.2,29.0749722,-23813.9298
5879.00354,189798.822,30,-79852.2,29.7021026,-24188.6998
939508.841,177909.201,30,-79852.2,23.292309,-14015.3617
1037595.07,161713.612,30,-79852.2,24.6741051,-12966.9718
31985.8348,162407.742,30,-79852.2,18.7562977,-10245.6789
