 A_f , Ea_f , C_ad2_A , C_ad2_B , C_ad3_A , C_ad3_B 
" 390,576.2 "," 156,227.4 ", 30.0 ,"-79,852.2 ", 29.5 ,"-17,373.6 "
 55.6 ," 125,651.0 ", 30.0 ,"-79,852.2 ",-10.0 ,"-25,047.4 "
" 87,785.7 "," 159,370.0 ", 30.0 ,"-79,852.2 ", 24.5 ,"-14,577.3 "
" 146,665.1 "," 142,468.3 ", 30.0 ,"-79,852.2 ", 17.5 ,"-9,211.8 "
 64.9 ," 131,708.5 ", 30.0 ,"-79,852.2 ", 27.9 ,"-19,173.0 "
" 95,933.3 "," 181,279.5 ", 30.0 ,"-79,852.2 ", 29.3 ,"-20,135.9 "
 99.2 ," 145,486.2 ", 30.0 ,"-79,852.2 ", 30.0 ,"-21,194.2 "
 12.9 ," 143,322.4 ", 30.0 ,"-79,852.2 ", 30.0 ,"-24,978.0 "
" 2,775.6 "," 158,075.5 ", 30.0 ,"-79,852.2 ", 27.4 ,"-18,612.6 "
 10.0 ," 131,585.1 ", 30.0 ,"-79,852.2 ", 25.1 ,"-17,006.9 "
 10.0 ," 111,874.1 ", 30.0 ,"-79,852.2 ", 29.3 ,"-18,216.5 "
" 133,092.8 "," 161,624.1 ", 30.0 ,"-79,852.2 ", 28.3 ,"-17,121.7 "
 10.2 ," 124,559.6 ", 30.0 ,"-79,852.2 ", 30.0 ,"-19,173.8 "
" 106,847.7 "," 162,015.7 ", 30.0 ,"-79,852.2 ", 27.9 ,"-16,724.5 "
" 125,489.4 "," 170,511.0 ", 30.0 ,"-79,852.2 ", 27.0 ,"-17,736.7 "
" 150,000.0 "," 188,354.5 ", 30.0 ,"-79,852.2 ", 30.0 ,"-25,044.1 "
" 40,326.7 "," 187,694.7 ", 30.0 ,"-79,852.2 ", 30.0 ,"-22,600.2 "
" 81,043.5 "," 187,041.3 ", 30.0 ,"-79,852.2 ", 30.0 ,"-21,852.8 "
" 80,264.8 "," 194,226.5 ", 30.0 ,"-79,852.2 ", 30.0 ,"-25,044.1 "
" 1,670.1 "," 173,006.4 ", 30.0 ,"-79,852.2 ", 30.0 ,"-24,279.4 "
 10.0 ," 134,548.9 ", 30.0 ,"-79,852.2 ", 30.0 ,"-21,323.3 "
" 464,779.2 "," 169,777.2 ", 30.0 ,"-79,852.2 ", 28.8 ,"-17,357.9 "
" 100,745.3 "," 187,207.9 ", 30.0 ,"-79,852.2 ", 28.1 ,"-20,623.2 "
 176.9 ," 157,117.8 ", 30.0 ,"-79,852.2 ", 21.0 ,"-16,341.4 "
 61.4 ," 163,088.8 ", 30.0 ,"-79,852.2 ", 25.1 ,"-13,986.2 "
" 313,416.8 "," 164,749.3 ", 30.0 ,"-79,852.2 ", 19.2 ,"-11,232.2 "
" 113,853.4 "," 169,551.1 ", 30.0 ,"-79,852.2 ", 28.6 ,"-17,679.8 "
" 150,000.0 "," 177,985.3 ", 30.0 ,"-79,852.2 ", 19.2 ,"-25,044.1 "
" 99,466.9 "," 171,496.5 ", 30.0 ,"-79,852.2 ", 24.6 ,"-16,728.0 "
" 149,999.1 "," 174,601.3 ", 30.0 ,"-79,852.2 ", 30.0 ,"-25,043.5 "
" 82,976.5 "," 178,229.5 ", 30.0 ,"-79,852.2 ", 30.0 ,"-21,350.6 "
 391.4 ," 153,868.5 ", 30.0 ,"-79,852.2 ", 29.4 ,"-21,357.8 "
 10.0 ," 132,488.7 ", 30.0 ,"-79,852.2 ", 30.0 ,"-25,039.2 "
" 3,771.4 "," 160,634.5 ", 30.0 ,"-79,852.2 ", 30.0 ,"-25,018.2 "
" 1,038.8 "," 166,856.0 ", 30.0 ,"-79,852.2 ", 29.4 ,"-22,012.7 "
" 4,116.3 "," 184,265.7 ", 30.0 ,"-79,852.2 ", 30.0 ,"-25,043.9 "
" 266,407.3 "," 169,388.8 ", 30.0 ,"-79,852.2 ", 28.9 ,"-19,459.8 "
" 143,036.4 "," 182,336.3 ", 30.0 ,"-79,852.2 ", 27.6 ,"-17,009.3 "
" 115,417.7 "," 184,828.0 ", 30.0 ,"-79,852.2 ", 30.0 ,"-19,931.9 "
" 164,901.0 "," 159,719.2 ", 30.0 ,"-79,852.2 ", 17.0 ,"-11,167.8 "
" 162,200.5 "," 159,699.7 ", 30.0 ,"-79,852.2 ", 15.4 ,"-9,625.6 "
" 105,002.1 "," 175,365.5 ", 30.0 ,"-79,852.2 ", 28.2 ,"-20,820.4 "
 10.0 ," 127,611.1 ", 30.0 ,"-79,852.2 ", 29.2 ,"-21,354.8 "
 115.5 ," 145,886.5 ", 30.0 ,"-79,852.2 ", 30.0 ,"-25,043.3 "
" 148,892.8 "," 183,609.8 ", 30.0 ,"-79,852.2 ", 28.0 ,"-19,181.6 "
 10.0 ," 140,219.9 ", 30.0 ,"-79,852.2 ", 17.6 ,"-12,097.1 "
 10.0 ," 153,787.1 ", 30.0 ,"-79,852.2 ", 30.0 ,"-20,545.0 "
 10.0 ," 127,365.2 ", 30.0 ,"-79,852.2 ", 26.6 ,"-19,636.7 "
 463.5 ," 166,667.4 ", 30.0 ,"-79,852.2 ", 30.0 ,"-24,294.1 "
