A_f,Ea_f(J/mol),A_1,Ea_1(J/mol),A_2,Ea_2(J/mol)
10,124389.68,1.06865E+13,663891.1908,980063.6524,71317.83853
163640.674,164084.817,1.06865E+13,663891.1908,8.44467E+11,137098.0903
276553.536,183427.453,1.06865E+13,663891.1908,1.06865E+13,186382.818
26076.8443,161224.479,1.06865E+13,663891.1908,2285227229,113524.8191
43829.6185,177530.487,1.06865E+13,663891.1908,3037280562,123732.2794
8020.61584,156404.957,1.06865E+13,663891.1908,220868531,98767.41509
42998.4976,186011.581,1.06865E+13,663891.1908,6.91427E+12,177498.5117
339285.275,190653.301,1.06865E+13,663891.1908,4138444792,126398.2408
260.556464,163351.121,1.06865E+13,663891.1908,946029679.3,133339.0241
20657.2071,182547.701,1.06865E+13,663891.1908,6.26498E+12,179105.0317
8716.85045,172832.662,1.06865E+13,663891.1908,123135298.9,107959.7909
10,144347.738,1.06865E+13,663891.1908,4.44914E+12,184949.6424
1737.51012,177552.557,1.06865E+13,663891.1908,1.08523E+12,175278.4966
1161.5326,186788.221,1.06865E+13,663891.1908,3.19777E+12,187777.0409
7405.34241,191348.751,1.06865E+13,663891.1908,2.37903E+12,183034.8849
237.907893,174540.709,1.06865E+13,663891.1908,4.23741E+12,197989.0124
5879.00354,189798.822,1.06865E+13,663891.1908,7.9334E+12,201104.8501
939508.841,177909.201,1.06865E+13,663891.1908,13053328557,116523.7172
1037595.07,161713.612,1.06865E+13,663891.1908,51978972565,107807.4035
31985.8348,162407.742,1.06865E+13,663891.1908,139880311.9,85182.57437
