A_f,Ea_f(J/mol),A_1,Ea_1(J/mol),A_2,Ea_2(J/mol)
390576,156227,1.07E+13,663891,6.19E+12,144444
56,125651,1.07E+13,663891,0,208244
87786,159370,1.07E+13,663891,45265305817,121196
146665,142468,1.07E+13,663891,39897407,76587
65,131709,1.07E+13,663891,1.31E+12,159404
95933,181280,1.07E+13,663891,5.24E+12,167410
99,145486,1.07E+13,663891,1.07E+13,176208
13,143322,1.07E+13,663891,1.07E+13,207667
2776,158076,1.07E+13,663891,7.98E+11,154745
10,131585,1.07E+13,663891,82907892531,141395
10,111874,1.07E+13,663891,5.56E+12,151452
133093,161624,1.07E+13,663891,2.02E+12,142350
10,124560,1.07E+13,663891,1.07E+13,159411
106848,162016,1.07E+13,663891,1.32E+12,139047
125489,170511,1.07E+13,663891,5.33E+11,147463
150000,188355,1.07E+13,663891,1.07E+13,208217
40327,187695,1.07E+13,663891,1.07E+13,187898
81044,187041,1.07E+13,663891,1.07E+13,181685
80265,194226,1.07E+13,663891,1.07E+13,208217
1670,173006,1.07E+13,663891,1.07E+13,201859
10,134549,1.07E+13,663891,1.07E+13,177282
464779,169777,1.07E+13,663891,3.37E+12,144313
100745,187208,1.07E+13,663891,1.62E+12,171461
177,157118,1.07E+13,663891,1264210053,135862
61,163089,1.07E+13,663891,75823112700,116281
313417,164749,1.07E+13,663891,219698586,93384
113853,169551,1.07E+13,663891,2.53E+12,146990
150000,177985,1.07E+13,663891,227293911,208217
99467,171497,1.07E+13,663891,50631006386,139077
149999,174601,1.07E+13,663891,1.07E+13,208212
82976,178229,1.07E+13,663891,1.07E+13,177509
391,153868,1.07E+13,663891,6.16E+12,177569
10,132489,1.07E+13,663891,1.07E+13,208176
3771,160635,1.07E+13,663891,1.07E+13,208002
1039,166856,1.07E+13,663891,6.15E+12,183014
4116,184266,1.07E+13,663891,1.07E+13,208215
266407,169389,1.07E+13,663891,3.40E+12,161789
143036,182336,1.07E+13,663891,9.47E+11,141415
115418,184828,1.07E+13,663891,1.07E+13,165714
164901,159719,1.07E+13,663891,25211112,92849
162201,159700,1.07E+13,663891,4854496,80028
105002,175365,1.07E+13,663891,1.72E+12,173101
10,127611,1.07E+13,663891,4.70E+12,177543
116,145887,1.07E+13,663891,1.07E+13,208210
148893,183610,1.07E+13,663891,1.41E+12,159476
10,140220,1.07E+13,663891,44484826,100575
10,153787,1.07E+13,663891,1.07E+13,170811
10,127365,1.07E+13,663891,3.52E+11,163259
463,166667,1.07E+13,663891,1.07E+13,201981
