Number,Catalyst,Doping wt%,Support(Promoter),Initial composition(H2/N2),GHSV(mL g-1 h-1),Pressure(MPa),Pressure(atm), Temperature(c) , Temperature(K) , Reaction rate(mmol g-1 h-1) , Reaction rate(kmol kg-1 s-1) , Reaction rate(mol g-1 h-1) ,N2 in(mol g-1 h-1),N2 conversion,N2 out(mol g-1 h-1)
1,Ru,10,BaO-CaH2,3,36000,0.1,0.9869,150.186,423.336,0.0579,1.61E-08,0.0000579 ,0.4013066 ,0.0000721 ,0.4012777 
,Ru,10,BaO-CaH2,3,36000,0.1,0.9869,180.507,453.657,0.2501,6.95E-08,0.0002501 ,0.4013066 ,0.0003116 ,0.4011816 
,Ru,10,BaO-CaH2,3,36000,0.1,0.9869,199.681,472.831,0.3952,1.10E-07,0.0003952 ,0.4013066 ,0.0004924 ,0.4011090 
,Ru,10,BaO-CaH2,3,36000,0.1,0.9869,220.638,493.788,0.8396,2.33E-07,0.0008396 ,0.4013066 ,0.0010461 ,0.4008868 
,Ru,10,BaO-CaH2,3,36000,0.1,0.9869,239.811,512.961,1.7592,4.89E-07,0.0017592 ,0.4013066 ,0.0021918 ,0.4004270 
,Ru,10,BaO-CaH2,3,36000,0.1,0.9869,270.133,543.283,4.025,1.12E-06,0.0040250 ,0.4013066 ,0.0050149 ,0.3992941 
,Ru,10,BaO-CaH2,3,36000,0.1,0.9869,280.388,553.538,4.8219,1.34E-06,0.0048219 ,0.4013066 ,0.0060078 ,0.3988957 
,Ru,10,BaO-CaH2,3,36000,0.1,0.9869,300.008,573.158,6.7407,1.87E-06,0.0067407 ,0.4013066 ,0.0083984 ,0.3979363 
,Ru,10,BaO-CaH2,3,36000,0.1,0.9869,320.519,593.669,8.7592,2.43E-06,0.0087592 ,0.4013066 ,0.0109134 ,0.3969270 
,Ru,10,BaO-CaH2,3,36000,0.1,0.9869,341.031,614.181,10.5778,2.94E-06,0.0105778 ,0.4013066 ,0.0131792 ,0.3960177 
2,Ru,10,CaH2,3,36000,0.1,0.9869,150.201,423.351,0.0001,0,0.0000001 ,0.4013066 ,0.0000001 ,0.4013066 
,Ru,10,CaH2,3,36000,0.1,0.9869,174.814,447.964,0.0001,0,0.0000001 ,0.4013066 ,0.0000001 ,0.4013066 
,Ru,10,CaH2,3,36000,0.1,0.9869,199.786,472.936,0.0782,2.17E-08,0.0000782 ,0.4013066 ,0.0000974 ,0.4012675 
,Ru,10,CaH2,3,36000,0.1,0.9869,225.12,498.27,0.2404,6.68E-08,0.0002404 ,0.4013066 ,0.0002995 ,0.4011864 
,Ru,10,CaH2,3,36000,0.1,0.9869,249.725,522.875,0.6656,1.85E-07,0.0006656 ,0.4013066 ,0.0008293 ,0.4009738 
,Ru,10,CaH2,3,36000,0.1,0.9869,275.408,548.558,1.4953,4.15E-07,0.0014953 ,0.4013066 ,0.0018630 ,0.4005590 
,Ru,10,CaH2,3,36000,0.1,0.9869,299.265,572.415,3.1744,8.82E-07,0.0031744 ,0.4013066 ,0.0039551 ,0.3997194 
,Ru,10,CaH2,3,36000,0.1,0.9869,312.636,585.786,4.287,1.19E-06,0.0042870 ,0.4013066 ,0.0053413 ,0.3991631 
,Ru,10,CaH2,3,36000,0.1,0.9869,324.198,597.348,5.3793,1.49E-06,0.0053793 ,0.4013066 ,0.0067022 ,0.3986170 
,Ru,10,CaH2,3,36000,0.1,0.9869,339.36,612.51,7.4425,2.07E-06,0.0074425 ,0.4013066 ,0.0092728 ,0.3975854 
3,Ru,10,Ca2N-e-,3,36000,0.1,0.9869,199.423,472.573,0.1591,4.42E-08,0.0001591 ,0.4013066 ,0.0001982 ,0.4012271 
,Ru,10,Ca2N-e-,3,36000,0.1,0.9869,250.09,523.24,0.5038,1.40E-07,0.0005038 ,0.4013066 ,0.0006277 ,0.4010547 
,Ru,10,Ca2N-e-,3,36000,0.1,0.9869,266.738,539.888,0.6255,1.74E-07,0.0006255 ,0.4013066 ,0.0007793 ,0.4009939 
,Ru,10,Ca2N-e-,3,36000,0.1,0.9869,279.759,552.909,1.1111,3.09E-07,0.0011111 ,0.4013066 ,0.0013844 ,0.4007511 
,Ru,10,Ca2N-e-,3,36000,0.1,0.9869,291.335,564.485,1.4753,4.10E-07,0.0014753 ,0.4013066 ,0.0018381 ,0.4005690 
,Ru,10,Ca2N-e-,3,36000,0.1,0.9869,300.376,573.526,1.8598,5.17E-07,0.0018598 ,0.4013066 ,0.0023172 ,0.4003767 
,Ru,10,Ca2N-e-,3,36000,0.1,0.9869,312.311,585.461,2.3454,6.52E-07,0.0023454 ,0.4013066 ,0.0029222 ,0.4001339 
,Ru,10,Ca2N-e-,3,36000,0.1,0.9869,319.542,592.692,2.8107,7.81E-07,0.0028107 ,0.4013066 ,0.0035019 ,0.3999013 
,Ru,10,Ca2N-e-,3,36000,0.1,0.9869,331.841,604.991,3.1952,8.88E-07,0.0031952 ,0.4013066 ,0.0039810 ,0.3997090 
,Ru,10,Ca2N-e-,3,36000,0.1,0.9869,339.798,612.948,3.5189,9.78E-07,0.0035189 ,0.4013066 ,0.0043843 ,0.3995472 
4,Ru,10,Ba-Ca(NH2)2,3,36000,0.1,0.9869,200.14,473.29,0.5029,1.40E-07,0.0005029 ,0.4013066 ,0.0006266 ,0.4010552 
,Ru,10,Ba-Ca(NH2)2,3,36000,0.1,0.9869,219.31,492.46,1.2111,3.36E-07,0.0012111 ,0.4013066 ,0.0015089 ,0.4007011 
,Ru,10,Ba-Ca(NH2)2,3,36000,0.1,0.9869,239.195,512.345,2.425,6.74E-07,0.0024250 ,0.4013066 ,0.0030214 ,0.4000941 
,Ru,10,Ba-Ca(NH2)2,3,36000,0.1,0.9869,259.794,532.944,4.1242,1.15E-06,0.0041242 ,0.4013066 ,0.0051385 ,0.3992445 
,Ru,10,Ba-Ca(NH2)2,3,36000,0.1,0.9869,279.656,552.806,6.4504,1.79E-06,0.0064504 ,0.4013066 ,0.0080367 ,0.3980814 
,Ru,10,Ba-Ca(NH2)2,3,36000,0.1,0.9869,289.767,562.917,7.7248,2.15E-06,0.0077248 ,0.4013066 ,0.0096246 ,0.3974442 
,Ru,10,Ba-Ca(NH2)2,3,36000,0.1,0.9869,299.154,572.304,8.9587,2.49E-06,0.0089587 ,0.4013066 ,0.0111619 ,0.3968273 
