Catalyst
1.2 wt% Fe/BaCeO$_{3}$$_{x}$N$_{y}$H$_{z}$
10 wt% Fe/LiH
KM1
80 wt% Fe/Ce$_{0.8}$Sm$_{0.2}$O$_{2}$
Magnetite
Wustite
86 wt% Fe/14% Ce$_{0.8}$Sm$_{0.2}$O$_{2}$
80 wt% Fe/20% Ce$_{0.8}$Sm$_{0.2}$O$_{2}$
74 wt% Fe/26% Ce$_{0.8}$Sm$_{0.2}$O$_{2}$
83 wt% Fe/17% Ce$_{0.8}$Sm$_{0.2}$O$_{2}$
86 wt% Fe/23% Ce$_{0.8}$Sm$_{0.2}$O$_{2}$
80 wt% Fe/20% CeO$_{2}$
80 wt% Fe/20% Sm$_{2}$O$_{3}$
80 wt% Fe/20% ZrO$_{2}$
80 wt% Fe/20% Y$_{2}$O$_{3}$
15 wt% FeOOH-K/Al$_{2}$O$_{3}$
5 wt% FeOOH-K/Al$_{2}$O$_{3}$
2 wt% Cs-FePc+CoPc
10 wt% Cs-FePc
Fe KM1
