Catalyst
10 wt% Ru/BaO-CaH$_{2}$
10 wt% Ru/CaH$_{2}$
10 wt% Ru/Ca$_{2}$N:e$^{-}$
10 wt% Ru/Ba-Ca(NH$_{2}$)$_{2}$
4.5 wt% Ru/BaCeO$_{3}$$_{x}$N$_{y}$H$_{z}$
4.3 wt% Ru/BaCeO$_{3}$
5 wt% Ru/CeO$_{2}$
1.5 wt% Ru/ZrH$_{2}$
1.9 wt% Ru/3LaN/ZrH$_{2}$
1.6 wt% Ru/6LaN/ZrH$_{2}$
10 wt% Ru/Ca(NH$_{2}$)$_{2}$
10 wt% Cs-Ru/MgO (Ru/Cs=1)
2 wt% Ru/C$_{12}$A$_{7}$:e$^{-}$
2 wt% Ru/C$_{2}$N:e$^{-}$
2 wt% Ru-Cs/MgO
2 wt% Ru/CaNH
2.42 wt% Ru/CeO$_{2}$-7
2.48 wt% Ru/CeO$_{2}$-9
2.5 wt% Ru/CeO$_{2}$-11
2.48 wt% Ru/CeO$_{2}$-CP
7.8 wt% Ru/Y$_{5}$Si$_{3}$
8.3 wt% Ru/LaScSi
1.25 wt% Ru/BaCeO$_{3}$-a
1.25 wt% Ru/BaCeO$_{3}$-b
0.23 wt% Ba-Ru SAs/S-1
5 wt% Ru/CaCN$_{2}$
5 wt% Ru/Ca$_{2}$N:e$^{-}$
5 wt% Ru/MgO
5 wt% Ru/Sm$_{2}$O$_{3}$
10 wt% Ru/Ca(NH$_{2}$)$_{2}$
10 wt% Ru/Ba-Ca(NH$_{2}$)$_{2}$
3 wt% Ru/Ti-Ce-E
3 wt% Ru/Ti-Ce-S
5 wt% Ru/Pr$_{2}$O$_{3}$
4 wt% Ru/r-CeO$_{2}$
4 wt% Ru/c-CeO$_{2}$
5 wt% Ru/La$_{0.5}$Ce$_{0.5}$O$_{1.75}$
0.4 wt% Ru/ACCs
0.39 wt% Ru/SAC
5 wt% Ru/Ba-LaCeO$_{x}$
5 wt% Ru/LaCeO$_{x}$
5 wt% Cs-Ru/MgO
1.8 wt% Ru/3TiCN-ZrH$_{2}$
1.8 wt% Ru/3TiN-ZrH$_{2}$
1.8 wt% Ru/ZrH$_{2}$
1 wt% NiRu/SAA
1 wt% FeRu/SAA
4.8 wt% Ba-Ru-Li/AC
4.9 wt% Ba-Ru/AC
