r2,mse,rmse,mae,,,,,
0.991110142,3.54E-08,0.000188252,0.000151495,,,,,
0.965186416,4.65E-07,0.000682234,0.000593314,,,,,
0.914623366,3.18E-05,0.005636805,0.005357657,,,,,
0.997374151,4.07E-07,0.000637682,0.000580521,,,,,
0.990142753,1.25E-06,0.0011197,0.000869356,,,,,
0.99617507,5.35E-07,0.000731412,0.000610628,,,,,
0.980847878,2.18E-07,0.000467374,0.000356034,,,,,
0.998670411,2.24E-08,0.000149568,0.000133,,,,,
0.969965751,2.64E-07,0.000513867,0.000379672,,,,,
0.991212696,1.52E-07,0.000390087,0.000314431,,,,,
0.998978521,1.19E-08,0.000109074,9.34E-05,,,,,
0.958312575,4.09E-07,0.000639742,0.000527485,,,,,
0.997598916,2.25E-08,0.000149887,9.79E-05,,,,,
0.987169446,2.70E-08,0.000164343,0.000109934,,,,,
0.974264184,1.42E-07,0.000377222,0.000338426,,,,,
0.989568828,5.65E-07,0.000751587,0.000631618,,,,,
0.987303168,2.48E-06,0.001573983,0.00134509,,,,,
0.994360404,3.84E-08,0.000195944,0.000160909,,,,,
0.995180379,2.84E-08,0.000168394,0.000144092,,,,,
0.996115872,4.94E-09,7.03E-05,6.10E-05,,,,,
0.980190759,2.18E-06,0.001477281,0.00072673,,,,,
