r2,mse,rmse,mae,,,,,,,
0.946203627,7.07E-07,0.000840752,0.0006399,,,,,,,
0.980077871,1.27E-07,0.000356266,0.000269604,,,,,,,
0.976087647,3.00E-08,0.000173167,0.00015015,,,,,,,
0.998888442,1.87E-08,0.000136623,0.00010711,,,,,,,
0.970780081,1.88E-06,0.001370151,0.001253242,,,,,,,
0.99146331,8.20E-08,0.000286295,0.000249638,,,,,,,
0.990385926,7.46E-08,0.000273093,0.000250342,,,,,,,
0.989014256,3.15E-08,0.000177544,0.000137263,,,,,,,
0.99774957,3.97E-08,0.000199345,0.000172369,,,,,,,
0.987170645,8.15E-08,0.000285415,0.000236836,,,,,,,
0.99457923,5.71E-08,0.000239057,0.00018214,,,,,,,
0.982759095,6.95E-08,2.64E-04,2.25E-04,,,,,,,
0.998526567,6.64E-10,2.58E-05,1.81E-05,,,,,,,
0.97556591,2.55E-08,0.000159669,0.000134598,,,,,,,
0.998913778,1.29E-09,3.59E-05,2.81E-05,,,,,,,
0.907857778,6.32E-10,2.51E-05,2.36E-05,,,,,,,
0.979551279,2.35E-07,0.000485005,0.000453677,,,,,,,
0.984479339,3.13E-07,0.000559107,0.000470505,,,,,,,
0.991922331,7.88E-08,0.000280749,0.000246755,,,,,,,
0.982795663,1.22E-07,0.000349946,0.000296462,,,,,,,
0.907540881,7.75E-08,2.78E-04,2.63E-04,,,,,,,
0.970472679,8.03E-08,0.000283445,0.000213918,,,,,,,
0.954572078,1.21E-06,0.001100949,0.00095842,,,,,,,
0.986337841,2.68E-07,0.000517751,0.000431422,,,,,,,
0.986161965,3.76E-14,1.94E-07,1.60E-07,,,,,,,
0.991714665,5.36E-08,0.000231604,0.000204055,,,,,,,
0.984560524,3.24E-08,0.000179897,0.000162038,,,,,,,
0.985450867,3.60E-08,0.000189641,0.000147392,,,,,,,
0.998391048,4.71E-08,0.000216963,0.000166929,,,,,,,
0.877117854,4.49E-07,0.000670203,0.000527813,,,,,,,
0.996139645,1.17E-07,0.000342701,0.000253661,,,,,,,
0.999413797,6.23E-09,7.89E-05,7.18E-05,,,,,,,
0.916988648,1.08E-06,0.001039297,0.000959005,,,,,,,
0.982460635,4.03E-07,0.000635161,0.000532325,,,,,,,
0.9971872,9.31E-09,9.65E-05,9.07E-05,,,,,,,
0.972692885,1.22E-08,0.000110405,0.000105113,,,,,,,
0.952571048,1.64E-05,0.004054147,0.003580856,,,,,,,
0.966176068,3.29E-09,5.73E-05,5.19E-05,,,,,,,
0.978318101,1.02E-08,0.000101036,9.01E-05,,,,,,,
0.999206511,4.69E-07,0.000684985,0.000526884,,,,,,,
0.997172851,9.10E-07,0.00095408,0.00078594,,,,,,,
0.99607118,9.61E-07,0.000980444,0.000921103,,,,,,,
0.991108327,2.84E-07,0.000532817,0.00047118,,,,,,,
0.957717422,9.77E-07,0.000988368,0.000908132,,,,,,,
0.994256239,2.24E-08,0.000149546,0.000115891,,,,,,,
0.975536524,1.22E-08,0.000110405,8.74E-05,,,,,,,
0.996271841,1.46E-11,3.82E-06,2.91E-06,,,,,,,
0.978873936,2.20E-06,0.001483218,0.001199945,,,,,,,
0.996008463,1.64E-07,0.000404871,0.000358546,,,,,,,
0.995278307,9.06E-07,0.000951744,0.00048555,,,,,,,
